,quotes,authors,URL,tag(s),author born date,author born location
0,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"[<a class=""tag"" href=""/tag/change/page/1/"">change</a>, <a class=""tag"" href=""/tag/deep-thoughts/page/1/"">deep-thoughts</a>, <a class=""tag"" href=""/tag/thinking/page/1/"">thinking</a>, <a class=""tag"" href=""/tag/world/page/1/"">world</a>]","March 14, 1879"," Ulm, Germany"
1,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,"[<a class=""tag"" href=""/tag/abilities/page/1/"">abilities</a>, <a class=""tag"" href=""/tag/choices/page/1/"">choices</a>]","July 31, 1965"," Yate, South Gloucestershire, England, The United Kgdom"
2,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"[<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>, <a class=""tag"" href=""/tag/life/page/1/"">life</a>, <a class=""tag"" href=""/tag/live/page/1/"">live</a>, <a class=""tag"" href=""/tag/miracle/page/1/"">miracle</a>, <a class=""tag"" href=""/tag/miracles/page/1/"">miracles</a>]","March 14, 1879"," Ulm, Germany"
3,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,"[<a class=""tag"" href=""/tag/aliteracy/page/1/"">aliteracy</a>, <a class=""tag"" href=""/tag/books/page/1/"">books</a>, <a class=""tag"" href=""/tag/classic/page/1/"">classic</a>, <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>]","December 16, 1775"," Steventon Rectory, Hampshire, The United Kgdom"
4,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,"[<a class=""tag"" href=""/tag/be-yourself/page/1/"">be-yourself</a>, <a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>]","June 01, 1926", The United States
5,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"[<a class=""tag"" href=""/tag/adulthood/page/1/"">adulthood</a>, <a class=""tag"" href=""/tag/success/page/1/"">success</a>, <a class=""tag"" href=""/tag/value/page/1/"">value</a>]","March 14, 1879"," Ulm, Germany"
6,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,https://quotes.toscrape.com/author/Andre-Gide,"[<a class=""tag"" href=""/tag/life/page/1/"">life</a>, <a class=""tag"" href=""/tag/love/page/1/"">love</a>]","November 22, 1869"," Paris, France"
7,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,https://quotes.toscrape.com/author/Thomas-A-Edison,"[<a class=""tag"" href=""/tag/edison/page/1/"">edison</a>, <a class=""tag"" href=""/tag/failure/page/1/"">failure</a>, <a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>, <a class=""tag"" href=""/tag/paraphrased/page/1/"">paraphrased</a>]","February 11, 1847"," Milan, Ohio, The United States"
8,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt,"[<a class=""tag"" href=""/tag/misattributed-eleanor-roosevelt/page/1/"">misattributed-eleanor-roosevelt</a>]","October 11, 1884", The United States
9,"“A day without sunshine is like, you know, night.”",Steve Martin,https://quotes.toscrape.com/author/Steve-Martin,"[<a class=""tag"" href=""/tag/humor/page/1/"">humor</a>, <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>, <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>]","August 14, 1945"," Waco, Texas, The United States"
10,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,"[<a class=""tag"" href=""/tag/friends/page/1/"">friends</a>, <a class=""tag"" href=""/tag/heartbreak/page/1/"">heartbreak</a>, <a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>, <a class=""tag"" href=""/tag/life/page/1/"">life</a>, <a class=""tag"" href=""/tag/love/page/1/"">love</a>, <a class=""tag"" href=""/tag/sisters/page/1/"">sisters</a>]","June 01, 1926", The United States
11,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,"[<a class=""tag"" href=""/tag/courage/page/1/"">courage</a>, <a class=""tag"" href=""/tag/friends/page/1/"">friends</a>]","July 31, 1965"," Yate, South Gloucestershire, England, The United Kgdom"
12,"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"[<a class=""tag"" href=""/tag/simplicity/page/1/"">simplicity</a>, <a class=""tag"" href=""/tag/understand/page/1/"">understand</a>]","March 14, 1879"," Ulm, Germany"
13,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,"[<a class=""tag"" href=""/tag/love/page/1/"">love</a>]","February 06, 1945"," Ne Mile, Sat Ann, Jamaica"
